appearance,mins_played,assist,ball_recovery,clearance_total,dribble_won,duel_aerial_won,foul_committed,foul_given,interception_all,pass_key,tackle_won,goals,class,name
32,3045,0,246,23,1,4,0,1,3,0,0,0,unknown,Marc-Andr� ter Stegen
19,1158,0,75,12,17,4,9,10,16,8,21,0,unknown,N�lson Semedo
7,574,0,39,19,0,0,9,1,8,3,13,0,unknown,Javier Mascherano
29,2521,8,162,45,17,13,32,20,61,37,38,2,unknown,Jordi Alba
22,2028,0,127,59,7,38,20,20,36,1,31,1,unknown,Samuel Umtiti
29,2547,4,206,13,20,26,25,39,35,25,31,1,unknown,Ivan Rakitic
25,2190,3,177,10,13,45,29,48,35,18,42,1,unknown,Sergio Busquets
14,689,3,28,2,1,6,2,9,11,9,2,4,unknown,Paco Alc�cer
10,535,1,38,0,7,2,11,5,8,10,5,1,unknown,Gerard Deulofeu
31,2771,12,73,0,152,5,12,68,6,76,5,29,unknown,Lionel Messi
28,2207,6,145,21,46,13,13,25,33,22,38,1,unknown,Sergi Roberto
16,683,0,39,5,7,14,16,5,6,3,13,0,unknown,Andr� Gomes
25,2349,0,174,103,11,56,20,9,24,6,17,2,unknown,Gerard Piqu�
14,441,1,22,1,3,2,2,10,8,3,3,1,unknown,Aleix Vidal
15,551,2,23,1,14,2,5,10,2,11,8,2,unknown,Denis Su�rez
10,558,1,44,11,2,6,9,6,8,5,13,0,unknown,Lucas Digne
24,1553,1,98,9,49,1,14,34,7,16,21,1,unknown,Andr�s Iniesta
30,1852,2,108,11,23,29,27,30,16,12,27,8,unknown,Paulinho
27,2556,6,43,28,31,9,41,46,6,40,11,23,unknown,Luis Su�rez
12,672,5,26,2,22,1,9,12,2,20,5,1,unknown,Ousmane Demb�l�
11,859,1,42,19,1,17,6,2,15,3,8,0,unknown,Thomas Vermaelen
26,2457,0,214,12,0,7,1,1,3,0,0,0,unknown,Sven Ulreich
23,2036,1,125,51,11,61,16,5,51,6,40,1,unknown,Mats Hummels
23,1639,2,84,19,13,16,9,6,17,22,15,2,unknown,David Alaba
24,1821,1,90,50,3,39,13,11,27,3,25,1,unknown,Niklas S�le
25,2207,10,118,28,17,19,16,47,19,48,24,1,unknown,Joshua Kimmich
23,1459,4,61,7,4,21,19,35,16,21,23,4,unknown,Corentin Tolisso
22,1533,2,104,12,9,39,45,19,30,27,51,6,unknown,Arturo Vidal
22,1378,3,66,5,5,18,22,14,22,18,35,1,unknown,Sebastian Rudy
19,1178,1,68,2,23,2,9,38,8,32,16,5,unknown,Franck Rib�ry
27,1902,11,46,11,12,33,20,12,7,47,27,9,unknown,Thomas M�ller
28,2113,1,43,8,18,53,33,36,5,21,4,28,unknown,Robert Lewandowski
21,1582,5,49,2,25,17,10,25,7,33,11,5,unknown,Arjen Robben
1,48,0,2,0,0,0,0,1,1,2,0,0,unknown,Marco Friedl
24,1703,1,96,16,6,15,21,26,33,21,27,0,unknown,Rafinha
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Christian Fr�chtl
21,1226,3,62,3,51,13,7,20,8,24,10,3,unknown,Kingsley Coman
3,285,0,27,1,0,0,0,0,0,0,0,0,unknown,Manuel Neuer
16,1124,1,57,5,15,20,19,12,25,24,28,2,unknown,Thiago Alc�ntara
20,1553,2,66,36,2,60,14,17,41,8,22,1,unknown,Javi Mart�nez
21,1519,10,115,3,14,6,22,31,14,54,23,6,unknown,James Rodr�guez
19,1713,2,106,48,1,32,15,7,22,13,18,1,unknown,J�r�me Boateng
2,190,0,15,0,0,0,0,0,0,0,0,0,unknown,Tom Starke
1,26,0,1,0,0,0,0,0,0,0,2,0,unknown,Kwasi Okyere Wriedt
30,2946,0,270,15,2,14,0,14,1,1,1,0,unknown,Fabri
22,2160,1,163,87,5,77,22,26,34,6,18,2,unknown,Pepe
3,216,0,9,3,0,2,7,4,4,0,3,0,unknown,Andreas Beck
21,1538,5,83,25,13,23,31,14,28,31,10,0,unknown,Caner Erkin
23,2230,1,146,78,10,60,25,21,31,12,31,4,unknown,Dusko Tosic
21,1428,3,74,3,13,3,20,11,11,33,17,0,unknown,Oguzhan �zyakup
24,1956,6,66,2,39,5,16,47,8,76,18,4,unknown,Ricardo Quaresma
29,2510,4,92,7,35,28,53,68,9,32,19,13,unknown,Anderson Talisca
28,2516,4,112,10,46,35,35,35,13,43,10,12,unknown,Ryan Babel
25,2279,2,171,36,17,53,31,57,36,19,35,2,unknown,Atiba Hutchinson
16,1245,1,27,10,6,22,24,13,2,13,4,8,unknown,Cenk Tosun
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Tolga Zengin
30,1533,6,18,16,11,47,23,15,3,33,9,7,unknown,�lvaro Negredo
10,473,1,24,15,3,12,8,5,12,2,16,0,unknown,Necip Uysal
5,66,1,10,1,1,1,1,1,2,1,1,0,unknown,Mustafa Pektemek
25,1582,2,134,8,38,13,38,40,19,19,33,0,unknown,Tolgay Arslan
2,122,0,7,7,1,5,1,1,0,0,1,0,unknown,Matej Mitrovic
1,23,0,1,2,0,1,0,0,0,0,0,0,unknown,Fatih Aksoy
21,966,0,31,6,15,10,22,14,5,10,15,1,unknown,Jeremain Lens
21,1785,1,145,47,7,25,25,22,22,11,28,1,unknown,Gary Medel
22,2022,4,152,43,20,22,26,19,42,26,36,1,unknown,Adriano
0,0,0,0,0,0,0,0,0,0,0,0,0,unknown,Utku Yuvakuran
22,1814,2,109,28,22,18,19,19,37,24,34,0,unknown,G�khan G�n�l
32,3120,0,273,14,0,2,2,3,0,0,0,0,unknown,Thibaut Courtois
24,1971,0,87,101,4,84,17,16,26,3,21,0,unknown,Gary Cahill
10,913,0,65,40,2,15,12,14,24,1,11,1,unknown,David Luiz
24,2238,1,152,90,8,56,21,10,21,2,20,2,unknown,Antonio R�diger
33,3217,6,179,95,5,62,21,11,48,28,56,2,unknown,C�sar Azpilicueta
31,2884,2,178,53,15,59,26,28,47,35,30,6,unknown,Marcos Alonso
30,2847,1,263,24,39,15,35,11,68,38,74,1,unknown,N�Golo Kant�
29,2217,5,152,18,16,10,23,21,20,82,42,1,unknown,Cesc F�bregas
32,1928,7,97,9,66,10,9,35,10,57,19,6,unknown,Willian
12,405,1,9,3,5,8,4,3,1,1,3,2,unknown,Michy Batshuayi
1,18,0,0,0,0,0,1,0,0,0,0,0,unknown,Jeremie Boga
2,194,0,16,5,0,2,0,0,0,0,0,0,unknown,Willy Caballero
28,2087,6,59,19,31,50,41,40,6,33,8,11,unknown,�lvaro Morata
25,2045,0,129,94,5,54,7,12,32,4,10,0,unknown,Andreas Christensen
3,47,1,1,0,1,1,3,1,0,1,0,0,unknown,Charly Musonda
25,1979,2,127,24,28,24,19,25,15,15,29,3,unknown,Victor Moses
26,2002,2,155,31,33,40,42,21,32,16,40,2,unknown,Tiemou� Bakayoko
27,1560,2,94,6,32,1,8,17,12,24,11,4,unknown,Pedro
30,2301,3,91,0,144,6,10,76,4,78,1,12,unknown,Eden Hazard
12,578,0,37,6,3,1,10,4,8,5,11,1,unknown,Daniel Drinkwater
20,1137,1,64,19,14,13,7,10,8,13,11,1,unknown,Davide Zappacosta
1,13,0,0,2,0,1,0,0,0,0,1,0,unknown,Ethan Ampadu
18,1743,0,131,16,0,4,1,4,1,0,0,0,unknown,Gianluigi Buffon
26,2326,2,135,139,10,49,30,27,49,6,16,0,unknown,Giorgio Chiellini
25,1709,2,80,21,14,21,21,26,15,8,25,0,unknown,Stephan Lichtsteiner
18,1700,2,77,70,0,27,19,11,15,3,9,1,unknown,Daniele Rugani
22,1902,4,118,37,36,33,44,26,24,22,28,4,unknown,Alex Sandro
13,696,1,40,4,7,2,5,3,4,4,4,0,unknown,Claudio Marchisio
29,2217,4,111,3,80,7,13,62,12,46,9,21,unknown,Paulo Dybala
29,2228,3,114,37,12,74,18,31,21,24,24,5,unknown,Mario Mandzukic
28,2384,8,200,20,20,10,37,27,57,55,28,4,unknown,Miralem Pjanic
19,1281,5,66,6,26,5,9,49,16,36,16,4,unknown,Juan Cuadrado
31,2708,6,82,21,48,9,16,43,6,29,14,15,unknown,Gonzalo Higua�n
11,933,0,52,22,10,12,5,1,14,4,17,1,unknown,Mattia De Sciglio
19,799,6,36,12,20,4,16,23,10,14,5,4,unknown,Federico Bernardeschi
20,1885,0,146,85,5,48,29,12,43,1,21,2,unknown,Medhi Benatia
29,2294,1,101,13,21,29,44,24,26,15,30,3,unknown,Blaise Matuidi
17,576,0,44,10,6,9,12,12,2,8,12,0,unknown,Rodrigo Bentancur
24,1882,2,77,15,9,20,12,7,19,16,8,8,unknown,Sami Khedira
18,1593,1,94,16,21,9,13,28,17,12,20,0,unknown,Kwadwo Asamoah
27,1680,10,87,4,94,6,18,18,10,48,13,3,unknown,Douglas Costa
16,1549,0,109,5,1,2,0,1,1,1,0,0,unknown,Wojciech Szczesny
21,1189,1,68,40,2,18,4,8,11,4,13,0,unknown,Andrea Barzagli
11,607,0,29,12,2,10,7,9,4,5,10,0,unknown,Stefano Sturaro
